id,malware_family,platform,writing_style,description,severity,behaviors,retrieval_queries,candidate_strings,api_calls,registry_keys,mutex_names,domains,yara_template_hint,expected_yara_features,yara_tags
15,rançongiciel,linux,technique,"L'échantillon rend les données inaccessibles via un chiffrement hybride, modifie /etc/rc.local pour s'exécuter au démarrage.",critique,impact|persistence,note de rançon bitcoin|fichiers verrouillés extension|demande de rançon|rançongiciel linux|chiffrement de fichiers,AES-256|Your files have been encrypted|tor browser,open|write|readdir|EVP_EncryptInit_ex,,,,encryption|rc_local,AES256|EVP_EncryptInit_ex|rc.local_modification|open|write|AES-256|Your files have been encrypted,rançongiciel|linux|critique|encryption|rc_local
16,rançongiciel,linux,description_detaillee,"Le rapport technique détaille un programme qui supprime les clichés instantanés de volume pour empêcher la restauration. Par ailleurs, il altère ~/.bashrc pour se relancer à l'ouverture du terminal.",critique,impact|persistence,demande de rançon|fichiers verrouillés extension|rançongiciel linux,tor browser|AES-256|bitcoin|DECRYPT_INSTRUCTIONS.html|.locked,read|rename|EVP_EncryptInit_ex|write|readdir,,,,shadow_copy_deletion|shell_profile,vssadmin_delete_shadows|bashrc_modification|read|rename|tor browser|AES-256,rançongiciel|linux|critique|shadow_copy_deletion|shell_profile
17,rançongiciel,linux,reponse_incident,"Au cours de la réponse à incident, on a constaté que la menace présente des instructions de déchiffrement contre paiement, puis altère ~/.bashrc pour se relancer à l'ouverture du terminal, puis supprime les clichés instantanés de volume pour empêcher la restauration.",critique,impact|persistence,malware qui chiffre les fichiers|demande de rançon|rançongiciel linux,AES-256|bitcoin|!!!READ_ME!!!,read|opendir|readdir,,,,shadow_copy_deletion|ransom_note|shell_profile,vssadmin_delete_shadows|README_RESTORE.txt|ransom_note_string|bashrc_modification|read|opendir|AES-256|bitcoin,rançongiciel|linux|critique|shadow_copy_deletion|ransom_note|shell_profile
18,rançongiciel,windows,rapport_analyste,L'implant identifié rend les données inaccessibles via un chiffrement hybride. Il déploie un service système malveillant au démarrage.,critique,impact|persistence,ransomware AES|note de rançon bitcoin|rançongiciel windows|chiffrement de fichiers,.locked|DECRYPT_INSTRUCTIONS.html|Your files have been encrypted,CryptEncrypt|FindFirstFileW|CryptGenKey|CryptAcquireContextW,HKLM\System\CurrentControlSet\Services,Global\R4ns0mLock,,encryption|windows_service,AES256|CryptEncrypt|service_install_string|FindFirstFileW|.locked|DECRYPT_INSTRUCTIONS.html|HKCU_Run_Key,rançongiciel|windows|critique|encryption|windows_service
19,rançongiciel,android,rapport_analyste,Cette souche laisse un fichier de récupération réclamant une rançon. Il écoute l'événement BOOT_COMPLETED pour redémarrer après reboot et neutralise les points de restauration du système.,critique,impact|persistence,rançongiciel|note de rançon bitcoin|ransomware AES|rançongiciel android mobile APK,Your files have been encrypted|bitcoin|.crypt|!!!READ_ME!!!|AES-256,javax.crypto|File.renameTo|Environment.getExternalStorageDirectory|Cipher.getInstance,,,,ransom_note|shadow_copy_deletion|boot_receiver,README_RESTORE.txt|ransom_note_string|vssadmin_delete_shadows|BOOT_COMPLETED_receiver|javax.crypto|File.renameTo|Your files have been encrypted|bitcoin,rançongiciel|android|critique|ransom_note|shadow_copy_deletion|boot_receiver
20,rançongiciel,linux,description_detaillee,"Le rapport technique détaille un programme qui altère ~/.bashrc pour se relancer à l'ouverture du terminal. Par ailleurs, il rend les données inaccessibles via un chiffrement hybride. Par ailleurs, il supprime les clichés instantanés de volume pour empêcher la restauration.",critique,impact|persistence,rançongiciel|fichiers verrouillés extension|rançongiciel linux|chiffrement de fichiers,Your files have been encrypted|!!!READ_ME!!!|README_RESTORE.txt,write|EVP_EncryptInit_ex|opendir,,,,shadow_copy_deletion|encryption|shell_profile,vssadmin_delete_shadows|AES256|EVP_EncryptInit_ex|bashrc_modification|write|Your files have been encrypted|!!!READ_ME!!!,rançongiciel|linux|critique|shadow_copy_deletion|encryption|shell_profile
21,rançongiciel,windows,description_detaillee,"Une analyse approfondie montre que la menace rend les données inaccessibles via un chiffrement hybride. Par ailleurs, il utilise une souscription WMI pour se déclencher.",critique,impact|persistence,malware qui chiffre les fichiers|ransomware AES|rançongiciel|rançongiciel windows|chiffrement de fichiers,AES-256|tor browser|bitcoin|Vos fichiers ont été chiffrés|.locked,FindFirstFileW|CryptEncrypt|CreateFileW|CryptGenKey,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\LockEncMtx,,encryption|wmi_subscription,AES256|CryptEncrypt|wmi_event_consumer|FindFirstFileW|AES-256|tor browser|HKCU_Run_Key,rançongiciel|windows|critique|encryption|wmi_subscription
22,rançongiciel,android,description_detaillee,"L'examen comportemental indique que l'échantillon demande les droits Device Administrator afin de résister à la désinstallation. Par ailleurs, il supprime les clichés instantanés de volume pour empêcher la restauration.",critique,impact|persistence|defense_evasion,demande de rançon|rançongiciel|note de rançon bitcoin|rançongiciel android mobile APK,DECRYPT_INSTRUCTIONS.html|.locked|Vos fichiers ont été chiffrés,Environment.getExternalStorageDirectory|javax.crypto|Cipher.getInstance|File.renameTo,,,,shadow_copy_deletion|device_admin_abuse,vssadmin_delete_shadows|DeviceAdminReceiver|Environment.getExternalStorageDirectory|javax.crypto|DECRYPT_INSTRUCTIONS.html|.locked,rançongiciel|android|critique|shadow_copy_deletion|device_admin_abuse
23,rançongiciel,android,alerte_courte,SIGNALEMENT : menace qui détruit les sauvegardes locales avant le chiffrement et enregistre un récepteur de démarrage pour se relancer au boot.,critique,impact|persistence|discovery,note de rançon bitcoin|fichiers verrouillés extension|malware qui chiffre les fichiers|rançongiciel android mobile APK,bitcoin|Vos fichiers ont été chiffrés|tor browser|AES-256|.locked,Cipher.getInstance|javax.crypto|Environment.getExternalStorageDirectory|File.renameTo,,,,shadow_copy_deletion|ransom_note|boot_receiver|system_discovery,vssadmin_delete_shadows|README_RESTORE.txt|ransom_note_string|BOOT_COMPLETED_receiver|systeminfo_enum|Cipher.getInstance|javax.crypto|bitcoin,rançongiciel|android|critique|shadow_copy_deletion|ransom_note|boot_receiver|system_discovery
24,rançongiciel,windows,technique,"L'échantillon se réinscrit au démarrage par une clé du registre, supprime les clichés instantanés de volume pour empêcher la restauration, dépose une note de rançon exigeant un paiement en cryptomonnaie.",critique,impact|persistence,demande de rançon|ransomware AES|fichiers verrouillés extension|rançongiciel windows,.crypt|Vos fichiers ont été chiffrés|tor browser|!!!READ_ME!!!|Your files have been encrypted,CreateFileW|WriteFile|CryptGenKey,HKLM\System\CurrentControlSet\Services|HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\CryptoLockerMutex,,ransom_note|shadow_copy_deletion|registry_persistence,README_RESTORE.txt|ransom_note_string|vssadmin_delete_shadows|HKCU_Run_Key|CreateFileW|WriteFile|.crypt|Vos fichiers ont été chiffrés,rançongiciel|windows|critique|ransom_note|shadow_copy_deletion|registry_persistence
25,rançongiciel,android,rapport_analyste,L'implant identifié enregistre un récepteur de démarrage pour se relancer au boot. Il laisse un fichier de récupération réclamant une rançon et verrouille les fichiers utilisateurs à l'aide d'un algorithme symétrique.,critique,impact|persistence,fichiers verrouillés extension|ransomware AES|rançongiciel android mobile APK|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|Vos fichiers ont été chiffrés|bitcoin|AES-256,Cipher.getInstance|Environment.getExternalStorageDirectory|File.renameTo|javax.crypto,,,,encryption|ransom_note|boot_receiver,AES256|EVP_EncryptInit_ex|README_RESTORE.txt|ransom_note_string|BOOT_COMPLETED_receiver|Cipher.getInstance|Environment.getExternalStorageDirectory|DECRYPT_INSTRUCTIONS.html,rançongiciel|android|critique|encryption|ransom_note|boot_receiver
26,rançongiciel,windows,technique,"L'échantillon supprime les clichés instantanés de volume pour empêcher la restauration, abonne un événement WMI permanent pour son exécution.",critique,impact|persistence,ransomware AES|rançongiciel|malware qui chiffre les fichiers|rançongiciel windows,bitcoin|.crypt|DECRYPT_INSTRUCTIONS.html|Your files have been encrypted|AES-256,WriteFile|CreateFileW|CryptEncrypt,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\CryptoLockerMutex,,shadow_copy_deletion|wmi_subscription,vssadmin_delete_shadows|wmi_event_consumer|WriteFile|CreateFileW|bitcoin|.crypt|HKCU_Run_Key,rançongiciel|windows|critique|shadow_copy_deletion|wmi_subscription
27,rançongiciel,windows,technique,"L'échantillon abonne un événement WMI permanent pour son exécution, neutralise les points de restauration du système.",critique,impact|persistence,fichiers verrouillés extension|rançongiciel|ransomware AES|rançongiciel windows,bitcoin|Your files have been encrypted|.locked|Vos fichiers ont été chiffrés,CryptGenKey|CreateFileW|FindFirstFileW|FindNextFileW,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,Global\CryptoLockerMutex,,shadow_copy_deletion|wmi_subscription,vssadmin_delete_shadows|wmi_event_consumer|CryptGenKey|CreateFileW|bitcoin|Your files have been encrypted|HKCU_Run_Key,rançongiciel|windows|critique|shadow_copy_deletion|wmi_subscription
28,rançongiciel,windows,rapport_analyste,Cette souche présente des instructions de déchiffrement contre paiement. Il enregistre une tâche planifiée déclenchée à l'ouverture de session et détruit les sauvegardes locales avant le chiffrement.,critique,impact|persistence,rançongiciel|demande de rançon|rançongiciel windows,.locked|DECRYPT_INSTRUCTIONS.html|README_RESTORE.txt|Vos fichiers ont été chiffrés,CryptGenKey|WriteFile|CryptEncrypt|CryptAcquireContextW|CreateFileW,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Global\LockEncMtx,,ransom_note|shadow_copy_deletion|scheduled_task,README_RESTORE.txt|ransom_note_string|vssadmin_delete_shadows|schtasks_create|CryptGenKey|WriteFile|.locked|DECRYPT_INSTRUCTIONS.html,rançongiciel|windows|critique|ransom_note|shadow_copy_deletion|scheduled_task
29,rançongiciel,windows,description_detaillee,"L'examen comportemental indique que l'échantillon cartographie l'environnement avant d'agir. Par ailleurs, il utilise une souscription WMI pour se déclencher. Par ailleurs, il crypte les répertoires partagés du système. Par ailleurs, il présente des instructions de déchiffrement contre paiement.",critique,impact|persistence|discovery,rançongiciel|ransomware AES|malware qui chiffre les fichiers|rançongiciel windows|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|!!!READ_ME!!!|.locked|Vos fichiers ont été chiffrés|tor browser,FindNextFileW|CreateFileW|CryptAcquireContextW|FindFirstFileW|CryptEncrypt,HKLM\System\CurrentControlSet\Services|HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\CryptoLockerMutex,,ransom_note|encryption|wmi_subscription|system_discovery,README_RESTORE.txt|ransom_note_string|AES256|CryptEncrypt|wmi_event_consumer|systeminfo_enum|FindNextFileW|CreateFileW,rançongiciel|windows|critique|ransom_note|encryption|wmi_subscription|system_discovery
30,rançongiciel,windows,rapport_analyste,Ce logiciel malveillant abonne un événement WMI permanent pour son exécution. Il supprime les clichés instantanés de volume pour empêcher la restauration et dépose une note de rançon exigeant un paiement en cryptomonnaie.,critique,impact|persistence,ransomware AES|rançongiciel|malware qui chiffre les fichiers|rançongiciel windows,DECRYPT_INSTRUCTIONS.html|bitcoin|Vos fichiers ont été chiffrés|tor browser,CryptAcquireContextW|FindFirstFileW|MoveFileExW|WriteFile|CreateFileW,HKCU\Software\Microsoft\Windows\CurrentVersion\Run|HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\R4ns0mLock,,ransom_note|shadow_copy_deletion|wmi_subscription,README_RESTORE.txt|ransom_note_string|vssadmin_delete_shadows|wmi_event_consumer|CryptAcquireContextW|FindFirstFileW|DECRYPT_INSTRUCTIONS.html|bitcoin,rançongiciel|windows|critique|ransom_note|shadow_copy_deletion|wmi_subscription
31,rançongiciel,windows,technique,"L'échantillon crée une tâche planifiée pour se relancer périodiquement, dépose une note de rançon exigeant un paiement en cryptomonnaie, recense la configuration et les logiciels installés.",critique,impact|persistence|discovery,malware qui chiffre les fichiers|note de rançon bitcoin|rançongiciel|rançongiciel windows,tor browser|bitcoin|AES-256,CreateFileW|FindNextFileW|CryptAcquireContextW|WriteFile,HKLM\System\CurrentControlSet\Services,Global\R4ns0mLock,,ransom_note|scheduled_task|system_discovery,README_RESTORE.txt|ransom_note_string|schtasks_create|systeminfo_enum|CreateFileW|FindNextFileW|tor browser|bitcoin,rançongiciel|windows|critique|ransom_note|scheduled_task|system_discovery
32,rançongiciel,windows,reponse_incident,"Lors de l'incident, l'acteur a déployé un outil qui rend les données inaccessibles via un chiffrement hybride, puis énumère les informations système et le domaine, puis enregistre une tâche planifiée déclenchée à l'ouverture de session, puis affiche une demande de paiement après le chiffrement.",critique,impact|persistence|discovery,note de rançon bitcoin|fichiers verrouillés extension|rançongiciel windows|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|README_RESTORE.txt|bitcoin|.crypt,WriteFile|CryptGenKey|CryptEncrypt,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Global\LockEncMtx,,ransom_note|encryption|scheduled_task|system_discovery,README_RESTORE.txt|ransom_note_string|AES256|CryptEncrypt|schtasks_create|systeminfo_enum|WriteFile|CryptGenKey,rançongiciel|windows|critique|ransom_note|encryption|scheduled_task|system_discovery
33,rançongiciel,android,reponse_incident,"L'investigation post-intrusion révèle un composant qui exploite l'Accessibility Service afin de maintenir son emprise, puis neutralise les points de restauration du système.",critique,impact|persistence|defense_evasion,rançongiciel|ransomware AES|malware qui chiffre les fichiers|rançongiciel android mobile APK,AES-256|Vos fichiers ont été chiffrés|Your files have been encrypted,javax.crypto|Environment.getExternalStorageDirectory|File.renameTo,,,,shadow_copy_deletion|accessibility_abuse,vssadmin_delete_shadows|AccessibilityService|javax.crypto|Environment.getExternalStorageDirectory|AES-256|Vos fichiers ont été chiffrés,rançongiciel|android|critique|shadow_copy_deletion|accessibility_abuse
34,rançongiciel,windows,reponse_incident,"Au cours de la réponse à incident, on a constaté que la menace neutralise les points de restauration du système, puis rend les données inaccessibles via un chiffrement hybride.",critique,impact,malware qui chiffre les fichiers|note de rançon bitcoin|rançongiciel|rançongiciel windows|chiffrement de fichiers,DECRYPT_INSTRUCTIONS.html|.crypt|!!!READ_ME!!!|README_RESTORE.txt|Your files have been encrypted,FindFirstFileW|MoveFileExW|CryptEncrypt|CreateFileW|CryptAcquireContextW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\LockEncMtx,,shadow_copy_deletion|encryption,vssadmin_delete_shadows|AES256|CryptEncrypt|FindFirstFileW|MoveFileExW|DECRYPT_INSTRUCTIONS.html|.crypt|HKCU_Run_Key,rançongiciel|windows|critique|shadow_copy_deletion|encryption
35,rançongiciel,linux,rapport_analyste,La variante observée altère ~/.bashrc pour se relancer à l'ouverture du terminal. Il énumère les informations système et le domaine et supprime les clichés instantanés de volume pour empêcher la restauration et affiche une demande de paiement après le chiffrement.,critique,impact|persistence|discovery,demande de rançon|malware qui chiffre les fichiers|rançongiciel linux,AES-256|.crypt|Your files have been encrypted|.locked|!!!READ_ME!!!,opendir|readdir|open,,,,shadow_copy_deletion|ransom_note|shell_profile|system_discovery,vssadmin_delete_shadows|README_RESTORE.txt|ransom_note_string|bashrc_modification|systeminfo_enum|opendir|readdir|AES-256,rançongiciel|linux|critique|shadow_copy_deletion|ransom_note|shell_profile|system_discovery
36,rançongiciel,windows,rapport_analyste,Le binaire analysé supprime les clichés instantanés de volume pour empêcher la restauration. Il cartographie l'environnement avant d'agir et assure sa persistance via une clé Run du registre.,critique,impact|persistence|discovery,rançongiciel|ransomware AES|rançongiciel windows,tor browser|AES-256|README_RESTORE.txt,CreateFileW|WriteFile|CryptAcquireContextW|FindFirstFileW,HKLM\System\CurrentControlSet\Services,Global\R4ns0mLock,,shadow_copy_deletion|registry_persistence|system_discovery,vssadmin_delete_shadows|HKCU_Run_Key|systeminfo_enum|CreateFileW|WriteFile|tor browser|AES-256,rançongiciel|windows|critique|shadow_copy_deletion|registry_persistence|system_discovery
37,rançongiciel,android,technique,"L'échantillon abuse des privilèges d'administrateur de l'appareil pour persister, détruit les sauvegardes locales avant le chiffrement, rend les données inaccessibles via un chiffrement hybride.",critique,impact|persistence|defense_evasion,malware qui chiffre les fichiers|demande de rançon|fichiers verrouillés extension|rançongiciel android mobile APK|chiffrement de fichiers,bitcoin|DECRYPT_INSTRUCTIONS.html|.crypt,Cipher.getInstance|javax.crypto|Environment.getExternalStorageDirectory|File.renameTo,,,,shadow_copy_deletion|encryption|device_admin_abuse,vssadmin_delete_shadows|AES256|EVP_EncryptInit_ex|DeviceAdminReceiver|Cipher.getInstance|javax.crypto|bitcoin|DECRYPT_INSTRUCTIONS.html,rançongiciel|android|critique|shadow_copy_deletion|encryption|device_admin_abuse
38,rançongiciel,windows,reponse_incident,"Lors de l'incident, l'acteur a déployé un outil qui abonne un événement WMI permanent pour son exécution, puis affiche une demande de paiement après le chiffrement.",critique,impact|persistence,malware qui chiffre les fichiers|demande de rançon|rançongiciel windows,DECRYPT_INSTRUCTIONS.html|README_RESTORE.txt|bitcoin,MoveFileExW|WriteFile|CryptAcquireContextW,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Global\CryptoLockerMutex,,ransom_note|wmi_subscription,README_RESTORE.txt|ransom_note_string|wmi_event_consumer|MoveFileExW|WriteFile|DECRYPT_INSTRUCTIONS.html|HKCU_Run_Key,rançongiciel|windows|critique|ransom_note|wmi_subscription
