"id","query_nl","query_style","language","malware_family","malware_type","mitre_technique","mitre_id","rule_name","yara_rule","label","difficulty","source_type"
"11","detect trojan modifying Windows registry Run key for startup persistence","technical","en","Generic Trojan","trojan","Registry Run Keys","T1547.001","Detect_Registry_Run_Persistence","rule Detect_Registry_Run_Persistence : trojan persistence
{
    meta:
        description = ""Detects trojan adding itself to registry Run key for persistence at startup""
        author      = ""Student Dataset""
        date        = ""2026-01-13""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1547/001/""

    strings:
        // Registry autorun keys
        $reg1 = ""SOFTWARE\Microsoft\Windows\CurrentVersion\Run""     wide ascii
        $reg2 = ""SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce"" wide ascii

        // API to write registry value
        $api1 = ""RegSetValueEx""  wide ascii
        $api2 = ""RegOpenKeyEx""   wide ascii

    condition:
        pe.is_pe and
        filesize < 5MB and
        ($reg1 or $reg2) and
        $api1 and $api2
}","malicious","easy","manual"
"12","Détecter un dropper PowerShell qui télécharge et exécute du code malveillant","technical_fr","fr","PowerShell Dropper","dropper","Command and Scripting Interpreter","T1059.001","Detect_PowerShell_Download_Cradle","rule Detect_PowerShell_Download_Cradle : dropper powershell
{
    meta:
        description = ""Detects PowerShell download cradle executing remote payload""
        author      = ""Student Dataset""
        date        = ""2026-01-14""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1059/001/""

    strings:
        // PowerShell invocation
        $ps1  = ""powershell""         nocase wide ascii
        $ps2  = ""pwsh""               nocase wide ascii

        // Download methods
        $dl1  = ""DownloadString""     wide ascii
        $dl2  = ""DownloadFile""       wide ascii
        $dl3  = ""WebClient""          wide ascii

        // Execute downloaded code
        $exec1 = ""IEX""               wide ascii
        $exec2 = ""Invoke-Expression"" nocase wide ascii

        // Bypass execution policy
        $bypass = ""-ExecutionPolicy Bypass"" nocase

    condition:
        filesize < 5MB and
        ($ps1 or $ps2) and
        ($dl1 or $dl2 or $dl3) and
        ($exec1 or $exec2 or $bypass)
}","malicious","medium","manual"
"13","rule to detect rootkit that hooks SSDT to hide processes from the OS","technical","en","Generic Rootkit","rootkit","Hide Artifacts","T1564","Detect_Rootkit_SSDT_Hook","rule Detect_Rootkit_SSDT_Hook : rootkit kernel
{
    meta:
        description = ""Detects kernel rootkit modifying SSDT to hide processes""
        author      = ""Student Dataset""
        date        = ""2026-01-14""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1564/""

    strings:
        // Physical memory access (ring-0 technique)
        $mem   = ""\\.\PhysicalMemory""

        // SSDT hooked function
        $zwq   = ""ZwQuerySystemInformation"" wide ascii

        // Inline hook NOP + JMP pattern
        $hook  = { 90 90 90 E9 ?? ?? ?? ?? }

        // Driver access to raw disk
        $drive = ""\\.\PhysicalDrive0""

        // Driver loading API
        $load  = ""NtLoadDriver"" wide ascii

    condition:
        pe.is_pe and
        filesize < 1MB and
        ($mem and $zwq) or
        ($hook and ($drive or $load))
}","malicious","hard","manual"
"14","un ver réseau qui se copie sur les partages réseau Windows via SMB","informal_fr","fr","Network Worm","worm","Lateral Movement","T1021","Detect_Network_Worm_SMB","rule Detect_Network_Worm_SMB : worm lateral_movement
{
    meta:
        description = ""Detects worm spreading via SMB network shares""
        author      = ""Student Dataset""
        date        = ""2026-01-14""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1021/""

    strings:
        // File copy API
        $copy  = ""CopyFileA"" wide ascii

        // SMB share path pattern
        $net1  = /\\[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.+/

        // Net command to map drive
        $net2  = ""net use"" nocase

        // IPC share for admin access
        $ipc   = ""IPC$""

        // Admin share
        $admin = ""ADMIN$""

    condition:
        pe.is_pe and
        filesize < 5MB and
        $copy and
        ($net1 or $net2) and
        ($ipc or $admin)
}","malicious","medium","manual"
"15","detect spyware taking screenshots and uploading them to remote FTP server","technical","en","Screenshot Spyware","spyware","Screen Capture","T1113","Detect_Screenshot_Spyware","rule Detect_Screenshot_Spyware : spyware screen_capture
{
    meta:
        description = ""Detects spyware capturing screenshots and uploading via FTP""
        author      = ""Student Dataset""
        date        = ""2026-01-14""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1113/""

    strings:
        // GDI screenshot API chain
        $api1 = ""BitBlt""                  wide ascii
        $api2 = ""GetDesktopWindow""        wide ascii
        $api3 = ""CreateCompatibleBitmap""  wide ascii
        $api4 = ""CreateCompatibleDC""      wide ascii

        // Upload channel
        $ftp  = ""ftp""    nocase wide ascii
        $send = ""WSASend"" wide ascii

    condition:
        pe.is_pe and
        filesize < 10MB and
        3 of ($api1, $api2, $api3, $api4) and
        ($ftp or $send)
}","malicious","medium","manual"
"16","Détecter un RAT qui ouvre un backdoor shell sur le port 4444","technical_fr","fr","Generic RAT","rat","Remote Access Software","T1219","Detect_RAT_Backdoor_Shell","rule Detect_RAT_Backdoor_Shell : rat backdoor
{
    meta:
        description = ""Detects Remote Access Trojan opening reverse shell on port 4444""
        author      = ""Student Dataset""
        date        = ""2026-01-15""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1219/""

    strings:
        // Port 4444 in little-endian hex
        $port   = { 5C 11 }

        // Socket API calls
        $bind   = ""bind""   wide ascii
        $listen = ""listen"" wide ascii
        $accept = ""accept"" wide ascii

        // Shell execution
        $shell  = ""cmd.exe""  wide ascii
        $sh2    = ""/bin/sh""  wide ascii

        // Netcat tool reference
        $nc     = ""netcat"" nocase

    condition:
        pe.is_pe and
        filesize < 5MB and
        $bind and $listen and $accept and
        ($shell or $sh2 or $nc)
}","malicious","medium","manual"
"17","YARA rule to detect Mirai botnet malware targeting IoT devices via Telnet","technical","en","Mirai","botnet","Exploitation of Remote Services","T1210","Detect_Mirai_IoT_Botnet","rule Detect_Mirai_IoT_Botnet : botnet iot mirai
{
    meta:
        description = ""Detects Mirai botnet IoT malware spreading via Telnet brute-force""
        author      = ""Student Dataset""
        date        = ""2026-01-15""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1210/""

    strings:
        // BusyBox environment (embedded Linux)
        $busybox = ""/bin/busybox"" wide ascii

        // Mirai string marker
        $mirai   = ""MIRAI"" wide ascii

        // Telnet brute-force marker
        $telnet  = ""telnet"" nocase wide ascii

        // Kill competing malware
        $kill    = ""kill""   wide ascii

        // Shell execution for persistence
        $exec    = ""/bin/sh"" wide ascii

        // Mirai table entry hex
        $hex1    = { 4D 49 52 41 49 }

    condition:
        filesize < 500KB and
        $busybox and
        ($mirai or $hex1) and
        $telnet and
        $kill and
        $exec
}","malicious","hard","manual"
"18","détecter XMRig, un crypto-mineur Monero qui utilise 100% du CPU","informal_fr","fr","XMRig","cryptominer","Resource Hijacking","T1496","Detect_XMRig_Monero_Miner","rule Detect_XMRig_Monero_Miner : cryptominer xmrig
{
    meta:
        description = ""Detects XMRig Monero CPU miner binary and configuration""
        author      = ""Student Dataset""
        date        = ""2026-01-15""
        severity    = ""medium""
        reference   = ""https://attack.mitre.org/techniques/T1496/""

    strings:
        // XMRig binary name
        $name1   = ""xmrig""            nocase wide ascii

        // Monero coin reference
        $coin    = ""monero""           nocase wide ascii

        // Mining pool domains
        $pool1   = ""pool.minexmr.com"" wide ascii
        $pool2   = ""xmrpool.eu""       wide ascii

        // XMRig donate address
        $donate  = ""donate.xmrig.com"" wide ascii

        // CPU usage flag
        $cpuflag = ""--max-cpu-usage""  wide ascii

    condition:
        filesize < 20MB and
        ($name1 or $donate) and
        ($coin or $pool1 or $pool2 or $cpuflag)
}","malicious","easy","manual"
"19","detect malware using DLL side-loading by replacing a legitimate DLL","technical","en","DLL Sideload","trojan","DLL Side-Loading","T1574.002","Detect_DLL_Sideloading","rule Detect_DLL_Sideloading : trojan dll_sideload
{
    meta:
        description = ""Detects malicious DLL impersonating a legitimate system DLL""
        author      = ""Student Dataset""
        date        = ""2026-01-16""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1574/002/""

    strings:
        // Common legitimate DLLs targeted for sideloading
        $dll1 = ""version.dll""  nocase wide ascii
        $dll2 = ""wininet.dll""  nocase wide ascii
        $dll3 = ""cryptbase.dll"" nocase wide ascii

        // LoadLibrary to load the malicious DLL
        $load = ""LoadLibraryA"" wide ascii

        // PE header magic
        $mz   = { 4D 5A }

        // Export of legitimate function to appear clean
        $exp  = ""DllMain"" wide ascii

    condition:
        pe.is_pe and
        $mz at 0 and
        filesize < 500KB and
        $load and
        ($dll1 or $dll2 or $dll3) and
        $exp
}","malicious","hard","manual"
"20","Détecter le cheval de Troie bancaire Zeus qui injecte dans les navigateurs","formal_fr","fr","Zeus","banker","Credentials from Web Browsers","T1555.003","Detect_Zeus_Banking_Trojan","rule Detect_Zeus_Banking_Trojan : banker trojan webinject
{
    meta:
        description = ""Detects Zeus banking trojan web injection and form grabbing""
        author      = ""Student Dataset""
        date        = ""2026-01-16""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1555/003/""

    strings:
        // Zeus web inject markers
        $inject1 = ""webinject"" nocase wide ascii
        $inject2 = ""formgrab""  nocase wide ascii

        // Target banking sites
        $bank1   = ""paypal""          nocase wide ascii
        $bank2   = ""bankofamerica""   nocase wide ascii
        $bank3   = ""wellsfargo""      nocase wide ascii

        // HTTP hook API for intercepting browser traffic
        $hook    = ""HttpSendRequest"" wide ascii

        // Zeus config file marker
        $cfg     = ""zeus_config""     nocase

    condition:
        pe.is_pe and
        filesize < 5MB and
        ($inject1 or $inject2 or $cfg) and
        ($bank1 or $bank2 or $bank3) and
        $hook
}","malicious","hard","manual"
"21","detect ransomware that deletes Volume Shadow Copies to prevent file recovery","technical","en","Shadow Deleter","ransomware","Inhibit System Recovery","T1490","Detect_ShadowCopy_Deletion","rule Detect_ShadowCopy_Deletion : ransomware recovery_inhibit
{
    meta:
        description = ""Detects ransomware deleting VSS shadow copies to prevent recovery""
        author      = ""Student Dataset""
        date        = ""2026-01-16""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1490/""

    strings:
        // vssadmin delete command
        $vss1 = ""vssadmin delete shadows /all /quiet"" nocase wide ascii

        // WMIC shadow copy delete
        $vss2 = ""wmic shadowcopy delete""              nocase wide ascii

        // Disable boot recovery
        $vss3 = ""bcdedit /set {default} recoveryenabled no"" nocase wide ascii

        // Disable automatic repair
        $vss4 = ""wbadmin delete catalog -quiet""       nocase wide ascii

    condition:
        filesize < 10MB and
        any of them
}","malicious","medium","manual"
"22","Détecter un spyware qui accède aux SMS et contacts sur Android","technical_fr","fr","Android Spyware","spyware","Data from Local System","T1005","Detect_Android_SMS_Spyware","rule Detect_Android_SMS_Spyware : spyware android mobile
{
    meta:
        description = ""Detects Android spyware accessing SMS, contacts and GPS location""
        author      = ""Student Dataset""
        date        = ""2026-01-16""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1005/""

    strings:
        // Android permissions in manifest
        $perm1 = ""READ_CONTACTS""       wide ascii
        $perm2 = ""READ_SMS""            wide ascii
        $perm3 = ""ACCESS_FINE_LOCATION"" wide ascii
        $perm4 = ""READ_CALL_LOG""       wide ascii

        // Exfiltration method
        $upload = ""uploadData""    wide ascii
        $http   = ""HttpPost""      wide ascii

        // Background service for stealth
        $svc    = ""BackgroundService"" wide ascii

    condition:
        filesize < 20MB and
        3 of ($perm1, $perm2, $perm3, $perm4) and
        ($upload or $http) and
        $svc
}","malicious","medium","manual"
"23","detect Mimikatz tool used to dump credentials from Windows LSASS process","technical","en","Mimikatz","credential_stealer","OS Credential Dumping","T1003.001","Detect_Mimikatz_Credential_Dump","rule Detect_Mimikatz_Credential_Dump : credential_stealer mimikatz
{
    meta:
        description = ""Detects Mimikatz credential dumping tool variants""
        author      = ""Student Dataset""
        date        = ""2026-01-17""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1003/001/""

    strings:
        // Mimikatz binary name
        $name1   = ""mimikatz""                   nocase wide ascii

        // Mimikatz module names
        $mod1    = ""sekurlsa""                   nocase wide ascii
        $mod2    = ""lsadump""                    nocase wide ascii

        // LSASS process target
        $lsass   = ""lsass""                      nocase wide ascii

        // Mimikatz commands
        $cmd1    = ""privilege::debug""           nocase wide ascii
        $cmd2    = ""sekurlsa::logonpasswords""   nocase wide ascii

        // Hex signature from Mimikatz binary
        $hex1    = { 6D 69 6D 69 6B 61 74 7A }

    condition:
        filesize < 50MB and
        ($name1 or $hex1 or ($mod1 and $cmd2)) and
        ($lsass or $cmd1)
}","malicious","medium","manual"
"24","detect Agent Tesla infostealer exfiltrating stolen data via SMTP email","technical","en","Agent Tesla","infostealer","Exfiltration Over Alternative Protocol","T1048.002","Detect_AgentTesla_SMTP_Exfil","rule Detect_AgentTesla_SMTP_Exfil : infostealer agenttesla smtp
{
    meta:
        description = ""Detects Agent Tesla infostealer using SMTP to exfiltrate credentials""
        author      = ""Student Dataset""
        date        = ""2026-01-17""
        severity    = ""high""
        reference   = ""https://attack.mitre.org/techniques/T1048/002/""

    strings:
        // Agent Tesla marker
        $tesla  = ""AgentTesla""       nocase wide ascii

        // SMTP exfiltration infrastructure
        $smtp1  = ""smtp.gmail.com""   wide ascii
        $smtp2  = ""smtp.mail.ru""     wide ascii
        $smtp3  = ""MAIL FROM:""       wide ascii

        // Keylogging API
        $key    = ""GetAsyncKeyState"" wide ascii

        // Clipboard stealing
        $clip   = ""GetClipboardData"" wide ascii

        // Browser credential path
        $chrome = ""Google\Chrome\User Data"" wide ascii

    condition:
        pe.is_pe and
        filesize < 10MB and
        ($tesla or ($smtp1 or $smtp2) and $smtp3) and
        ($key or $clip or $chrome)
}","malicious","hard","manual"
"25","Détecter Cobalt Strike beacon utilisé par des groupes APT","technical_fr","fr","Cobalt Strike","apt_tool","Command and Control","T1071","Detect_CobaltStrike_Beacon","rule Detect_CobaltStrike_Beacon : apt_tool c2 cobaltstrike
{
    meta:
        description = ""Detects Cobalt Strike beacon used by APT actors for C2""
        author      = ""Student Dataset""
        date        = ""2026-01-17""
        severity    = ""critical""
        reference   = ""https://attack.mitre.org/techniques/T1071/""

    strings:
        // Named pipe used by Cobalt Strike
        $pipe    = ""\\.\pipe\msagent_"" wide ascii

        // Cobalt Strike string artifacts
        $cs1     = ""beacon""        nocase wide ascii
        $cs2     = ""cobaltstrike""  nocase wide ascii

        // Sleep obfuscation byte pattern
        $sleep   = { 48 83 EC 20 B8 01 00 00 00 }

        // CS default config XOR key bytes
        $cfg     = { 69 68 69 68 69 6B }

        // Staged payload HTTP request pattern
        $http    = ""/submit.php"" wide ascii

    condition:
        pe.is_pe and
        filesize < 20MB and
        ($pipe or $cs2 or $cs1) and
        ($sleep or $cfg or $http)
}","malicious","hard","manual"
"26","identify legitimate Windows calculator application binary","technical","en","Windows Calc","benign","N/A","N/A","Benign_Windows_Calculator","rule Benign_Windows_Calculator : benign legitimate
{
    meta:
        description = ""Identifies the legitimate Windows Calculator application""
        author      = ""Student Dataset""
        date        = ""2026-01-18""
        severity    = ""none""
        reference   = ""https://docs.microsoft.com/windows""

    strings:
        // Published by Microsoft
        $pub   = ""Microsoft Corporation"" wide ascii

        // Official description string
        $desc  = ""Windows Calculator""    wide ascii

        // Binary filename
        $name  = ""calc.exe""              wide ascii

        // Version info
        $ver   = ""CalculatorApp""         wide ascii

    condition:
        pe.is_pe and
        filesize < 5MB and
        $pub and
        ($desc or $name or $ver) and
        not ""CryptEncrypt"" and
        not ""CreateRemoteThread""
}","benign","easy","manual"
"27","règle pour identifier un fichier PDF normal sans JavaScript ni code malveillant","formal_fr","fr","Clean PDF","benign","N/A","N/A","Benign_Clean_PDF","rule Benign_Clean_PDF : benign document
{
    meta:
        description = ""Identifies clean PDF document with no JavaScript or malicious content""
        author      = ""Student Dataset""
        date        = ""2026-01-18""
        severity    = ""none""
        reference   = ""https://www.adobe.com/devnet/pdf/pdf_reference.html""

    strings:
        // PDF magic header
        $header  = ""%PDF-""     ascii

        // PDF end of file marker
        $eof     = ""%%EOF""     ascii

        // Indicators of malicious PDF
        $bad1    = ""/JavaScript"" ascii
        $bad2    = ""/Launch""     ascii
        $bad3    = ""/EmbeddedFile"" ascii
        $bad4    = ""/OpenAction"" ascii

    condition:
        $header at 0 and
        $eof and
        not $bad1 and
        not $bad2 and
        not $bad3 and
        not $bad4
}","benign","easy","manual"
"28","identify a normal JPEG image file with no hidden executable content","technical","en","Clean JPEG","benign","N/A","N/A","Benign_Clean_JPEG_Image","rule Benign_Clean_JPEG_Image : benign image
{
    meta:
        description = ""Identifies a clean JPEG image with no embedded executable""
        author      = ""Student Dataset""
        date        = ""2026-01-18""
        severity    = ""none""
        reference   = ""https://www.iso.org/standard/18902.html""

    strings:
        // JPEG magic bytes
        $jpg_start = { FF D8 FF }

        // JPEG end marker
        $jpg_end   = { FF D9 }

        // PE executable magic (must not be present)
        $pe_magic  = { 4D 5A }

        // ELF magic (must not be present)
        $elf_magic = { 7F 45 4C 46 }

    condition:
        $jpg_start at 0 and
        $jpg_end and
        not $pe_magic and
        not $elf_magic
}","benign","easy","manual"
"29","fichier Word DOCX normal sans macros VBA ni code exécutable","formal_fr","fr","Clean DOCX","benign","N/A","N/A","Benign_Clean_Word_DOCX","rule Benign_Clean_Word_DOCX : benign document office
{
    meta:
        description = ""Identifies a clean Word DOCX file without macros or executable code""
        author      = ""Student Dataset""
        date        = ""2026-01-18""
        severity    = ""none""
        reference   = ""https://docs.microsoft.com/office""

    strings:
        // DOCX main document entry
        $docx    = ""word/document.xml"" wide ascii

        // Indicators of malicious macros
        $macro1  = ""vbaProject.bin""    wide ascii
        $macro2  = ""AutoOpen""          wide ascii
        $macro3  = ""Shell""             wide ascii
        $macro4  = ""WScript.Shell""     wide ascii

    condition:
        $docx and
        not $macro1 and
        not $macro2 and
        not $macro3 and
        not $macro4
}","benign","easy","manual"
"30","identify legitimate SSL/TLS certificate PEM file for HTTPS","short_technical","en","SSL Certificate","benign","N/A","N/A","Benign_SSL_TLS_Certificate","rule Benign_SSL_TLS_Certificate : benign certificate
{
    meta:
        description = ""Identifies a legitimate SSL/TLS certificate in PEM format""
        author      = ""Student Dataset""
        date        = ""2026-01-18""
        severity    = ""none""
        reference   = ""https://www.rfc-editor.org/rfc/rfc7468""

    strings:
        // PEM certificate header
        $pem_start = ""-----BEGIN CERTIFICATE-----"" ascii

        // PEM certificate footer
        $pem_end   = ""-----END CERTIFICATE-----""   ascii

        // Private key indicator (should not be here alone)
        $priv_key  = ""-----BEGIN PRIVATE KEY-----"" ascii

    condition:
        $pem_start and
        $pem_end and
        filesize < 20KB and
        not $priv_key
}","benign","easy","manual"
